,parent_company,facility_name,facility_type,state,primary_fuel,electricity_production_gj,electricity_production_mwh,scope_1_emissions_tco2e,scope_2_emissions_tco2e,total_emissions_tco2e,emission_intensity_t_per_mwh,is_grid_connected,grid_name,notes,source_id,year,latitude,longitude
5101,SPIC PACIFIC ENERGY PTY LTD,Clements Gap Wind Farm,F,SA,Wind,640749.0,177986.0,40.0,111.0,151,0.0,On,NEM,,ID0083,2022-23,-33.4809608,138.0987163
5102,SPIC PACIFIC ENERGY PTY LTD,Codrington Wind Farm,F,VIC,Wind,155611.0,43225.0,44.0,57.0,101,0.0,On,NEM,,ID0083,2022-23,-38.27438610000001,141.9777639
5103,SPIC PACIFIC ENERGY PTY LTD,Crowlands Wind Farm,F,VIC,Wind,875678.0,243244.0,65.0,600.0,665,0.0,On,NEM,,ID0083,2022-23,-37.1263843,143.1559074
5104,SPIC PACIFIC ENERGY PTY LTD,Eildon Pondage Hydro,F,VIC,Hydro,45570.0,12658.0,5.0,2.0,7,0.0,On,NEM,,ID0083,2022-23,-37.2425444,145.906002
5105,SPIC PACIFIC ENERGY PTY LTD,Glenmaggie Hydro,F,VIC,Hydro,48540.0,13483.0,8.0,2.0,10,0.0,On,NEM,,ID0083,2022-23,-37.9043953,146.8002446
5106,SPIC PACIFIC ENERGY PTY LTD,Haughton Solar Farm,F,QLD,Solar,845395.0,234832.0,110.0,1661.0,1771,0.0,On,NEM,,ID0083,2022-23,-19.736582,147.0414676
5107,SPIC PACIFIC ENERGY PTY LTD,Ord Hydro,F,WA,Hydro,256736.0,71316.0,39.0,26.0,65,0.0,Off,Off-grid,,ID0083,2022-23,-16.1200015,128.738173
5108,SPIC PACIFIC ENERGY PTY LTD,Portland Wind Farms,F,VIC,Wind,1773496.0,492638.0,164.0,221.0,385,0.0,On,NEM,,ID0083,2022-23,-38.3644104,141.6251525
5109,SPIC PACIFIC ENERGY PTY LTD,Taralga Wind Farm,F,NSW,Wind,875284.0,243134.0,96.0,697.0,793,0.0,On,NEM,,ID0083,2022-23,-34.4237104,149.8258649
5110,SPIC PACIFIC ENERGY PTY LTD,The Drop Hydro,F,NSW,Hydro,16537.0,4594.0,4.0,9.0,13,0.0,On,NEM,,ID0083,2022-23,-35.7765344,145.7529366
5111,SPIC PACIFIC ENERGY PTY LTD,William Hovell Hydro,F,VIC,Hydro,25894.0,7193.0,7.0,6.0,13,0.0,On,NEM,,ID0083,2022-23,-36.9252158,146.3894175
5112,SPIC PACIFIC ENERGY PTY LTD,Yaloak South Wind Farm,F,VIC,Wind,264573.0,73492.0,40.0,70.0,110,0.0,On,NEM,,ID0083,2022-23,-37.7164742,144.2419466
5113,SPIC PACIFIC ENERGY PTY LTD,Yambuk Wind Farm,F,VIC,Wind,340027.0,94452.0,48.0,158.0,206,0.0,On,NEM,,ID0083,2022-23,-38.2991956,142.0270383
5114,SPIC PACIFIC ENERGY PTY LTD,Corporate Total,C,,,6632239.0,1842288.0,785.0,3778.0,4563,,,,,ID0083,2022-23,,
5115,SRV AGWF PTY LTD,Albany Windfarm,F,WA,Wind,308819.0,85783.0,22.0,47.0,69,0.0,On,SWIS,,ID0083,2022-23,-35.0658656,117.7996621
5116,SRV AGWF PTY LTD,Corporate Total,C,,,308819.0,85783.0,22.0,47.0,69,,,,,ID0083,2022-23,,
5117,STANWELL CORPORATION LIMITED,Mackay Gas Turbine,F,QLD,Diesel,0.0,0.0,0.0,0.0,0,0.0,On,NEM,,ID0083,2022-23,-21.1446245,149.1589378
5118,STANWELL CORPORATION LIMITED,Stanwell Power Station,F,QLD,Black Coal,33733987.0,9370552.0,8031094.0,7975.0,8039069,0.86,On,NEM,,ID0083,2022-23,-23.5091325,150.3208166
5119,STANWELL CORPORATION LIMITED,Tarong Power Stations,F,QLD,Black Coal,41776251.0,11604514.0,10255194.0,43054.0,10298248,0.88,On,NEM,,ID0083,2022-23,-26.7813053,151.9144592
5120,STANWELL CORPORATION LIMITED,Corporate Total,C,,,75510238.0,20975066.0,18286288.0,51029.0,18337317,,,,,ID0083,2022-23,,
5121,STOCKYARD HILL WIND FARM (HOLDING) PTY LTD,Stockyard Wind Farm,F,VIC,Wind,5464484.0,1517912.0,160.0,4896.0,5056,0.0,On,NEM,,ID0083,2022-23,-37.5518417,143.3142547
5122,STOCKYARD HILL WIND FARM (HOLDING) PTY LTD,Corporate Total,C,,,5464484.0,1517912.0,160.0,4896.0,5056,,,,,ID0083,2022-23,,
5123,SUN AUSTRALIA HOLDINGS PTY LTD,Merredin Solar Farm,F,WA,Solar,850438.0,236233.0,30.0,324.0,354,0.0,On,SWIS,,ID0083,2022-23,-31.5450952,118.2272246
5124,SUN AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,,,850438.0,236233.0,30.0,324.0,354,,,,,ID0083,2022-23,,
5125,SUNRAYSIA SOLAR FARM HOLDINGS PTY LTD,Sunraysia Solar Farm,F,NSW,Solar,1338531.0,371814.0,30.0,4301.0,4331,0.0,On,NEM,,ID0083,2022-23,-34.8215156,143.5087952
5126,SUNRAYSIA SOLAR FARM HOLDINGS PTY LTD,Corporate Total,C,,,1338531.0,371814.0,30.0,4301.0,4331,,,,,ID0083,2022-23,,
5127,SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Moranbah Power Station,F,QLD,Coal Seam Methane,95222.0,26451.0,14816.0,0.0,14816,0.56,On,NEM,,ID0083,2022-23,-21.9620901,148.0037773
5128,SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Corporate Total,C,,,95222.0,26451.0,14816.0,0.0,14816,,,,,ID0083,2022-23,,
5129,THE TRUSTEE FOR GRSF TRUST,Greenough River Solar Farm,F,WA,Solar,343078.0,95299.0,7.0,150.0,157,0.0,On,SWIS,,ID0083,2022-23,-28.9038103,115.1115641
5130,THE TRUSTEE FOR GRSF TRUST,Corporate Total,C,,,343078.0,95299.0,7.0,150.0,157,,,,,ID0083,2022-23,,
5131,THE TRUSTEE FOR GUNNEDAH ASSET TRUST,Gunnedah Solar Farm,F,NSW,Solar,648000.0,180000.0,0.0,0.0,0,0.0,On,NEM,,ID0083,2022-23,-30.9618656,150.3398437
5132,THE TRUSTEE FOR GUNNEDAH ASSET TRUST,Corporate Total,C,,,648000.0,180000.0,0.0,0.0,0,,,,,ID0083,2022-23,,
5133,THE TRUSTEE FOR SUNTOP ASSET TRUST,Suntop Solar Farm,F,NSW,Solar,1076400.0,299000.0,0.0,0.0,0,0.0,On,NEM,,ID0083,2022-23,-32.5799598,148.8382415
5134,THE TRUSTEE FOR SUNTOP ASSET TRUST,Corporate Total,C,,,1076400.0,299000.0,0.0,0.0,0,,,,,ID0083,2022-23,,
5135,TINSEL BIDCO PTY LTD,Snowtown South Wind Farm Pty Ltd,F,SA,Wind,1572685.0,436857.0,29.0,70.0,99,0.0,On,NEM,,ID0083,2022-23,-33.7140884,138.1408256
5136,TINSEL BIDCO PTY LTD,Snowtown Wind Farm Stage 2 Pty Ltd,F,SA,Wind,1566109.0,435030.0,33.0,98.0,131,0.0,On,NEM,,ID0083,2022-23,-33.8304029,138.1193017
5137,TINSEL BIDCO PTY LTD,Corporate Total,C,,,3138794.0,871888.0,62.0,168.0,230,,,,,ID0083,2022-23,,
